Class ID,class,order,family,genus,species,image count,Geographical Spread,Role in Ecosystem,Size Distribution
0,Insecta,Hemiptera,Acanaloniidae,Acanalonia,conica,3687,"United States, Canada, Mexico, Central America, South America",Pest,Approximately 10-12 millimeters
1,Insecta,Hemiptera,Acanaloniidae,Acanalonia,bivittata,1099,"United States, Canada, Mexico, Central America, West Indies",Pest,Approximately 10 millimeters
2,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,haemorrhoidale,2254,"United Kingdom, Ireland, France, Belgium, Italy",Herbivore,Approximately 12 to 17 mm
3,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,cruciatus,877,"Russia, China, Korea, Japan, Mongolia",Predator,12 to 15 millimeters
4,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,interstinctus,945,"United Kingdom, Ireland, France, Germany, Russia",Indicator species,Approximately 10 to 12 millimeters
5,Insecta,Hemiptera,Acanthosomatidae,Elasmucha,grisea,1490,"Europe, Asian part of Russia, Kazakhstan, Mongolia, China",Predator,Approximately 6 to 7 mm
6,Insecta,Orthoptera,Acrididae,Abracris,flavolineata,1393,"Brazil, Argentina, Uruguay, Paraguay, Bolivia",Herbivore,Approximately 30-50 mm
7,Insecta,Orthoptera,Acrididae,Acanthacris,ruficornis,608,"South Africa, Zimbabwe, Kenya, Tanzania, Uganda",Pest,50-70mm
8,Insecta,Orthoptera,Acrididae,Acrida,conica,779,"Australia, Indonesia, Papua New Guinea, Solomon Islands, Timor-Leste",Primary consumer,Approximately 50-70 millimeters
9,Insecta,Orthoptera,Acrididae,Acrida,ungarica,803,"Southern Europe, Northern Africa, the Middle East, Central Asia",Predator,40-65 millimeters
10,Insecta,Orthoptera,Acrididae,Acrida,cinerea,524,"China, Japan, Korea, Mongolia, Russia",Predator,40-65 millimeters
11,Insecta,Orthoptera,Acrididae,Aidemona,azteca,1237,"Mexico, Guatemala, Honduras, El Salvador, Nicaragua",Primary consumer,Approximately 30-40 mm
12,Insecta,Orthoptera,Acrididae,Aiolopus,strepens,1330,"Europe, Northern Africa, Middle East, Central Asia, South Asia",Herbivore,Approximately 30-35 millimeters
13,Insecta,Orthoptera,Acrididae,Anacridium,aegyptium,4689,"Southern Europe, Africa, Middle East, Western Asia",Pest,50-70 mm
14,Insecta,Orthoptera,Acrididae,Camnula,pellucida,883,"Canada, United States, Mexico, Russia, Kazakhstan",pest,18-35 millimeters
